"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R77","RESC1608X55N","125.95mm","90.925mm","125.95mm","90.925mm","125.15mm","90.925mm","T","360.00","10k"
"R76","RESC1608X55N","131.675mm","54.8658mm","131.675mm","54.8658mm","132.475mm","54.8658mm","T","180.00","49R9"
"R75","RESC1608X55N","131.675mm","56.7302mm","131.675mm","56.7302mm","132.475mm","56.7302mm","T","180.00","49R9"
"R74","RESC1608X55N","131.675mm","58.5947mm","131.675mm","58.5947mm","132.475mm","58.5947mm","T","180.00","49R9"
"R73","RESC1608X55N","131.675mm","60.4592mm","131.675mm","60.4592mm","132.475mm","60.4592mm","T","180.00","49R9"
"R72","RESC1608X55N","131.675mm","69.7815mm","131.675mm","69.7815mm","132.475mm","69.7815mm","T","180.00","49R9"
"R71","RESC1608X55N","131.675mm","47.4079mm","131.675mm","47.4079mm","132.475mm","47.4079mm","T","180.00","49R9"
"R70","RESC1608X55N","131.675mm","71.646mm","131.675mm","71.646mm","132.475mm","71.646mm","T","180.00","49R9"
"R69","RESC1608X55N","131.675mm","49.2724mm","131.675mm","49.2724mm","132.475mm","49.2724mm","T","180.00","49R9"
"R68","RESC1608X55N","131.675mm","73.5105mm","131.675mm","73.5105mm","132.475mm","73.5105mm","T","180.00","49R9"
"R67","RESC1608X55N","131.675mm","51.1368mm","131.675mm","51.1368mm","132.475mm","51.1368mm","T","180.00","49R9"
"R66","RESC1608X55N","131.675mm","75.375mm","131.675mm","75.375mm","132.475mm","75.375mm","T","180.00","49R9"
"R65","RESC1608X55N","131.675mm","53.0013mm","131.675mm","53.0013mm","132.475mm","53.0013mm","T","180.00","49R9"
"R64","RESC1608X55N","131.675mm","39.95mm","131.675mm","39.95mm","132.475mm","39.95mm","T","180.00","49R9"
"R63","RESC1608X55N","131.675mm","62.3237mm","131.675mm","62.3237mm","132.475mm","62.3237mm","T","180.00","49R9"
"R62","RESC1608X55N","131.675mm","41.8145mm","131.675mm","41.8145mm","132.475mm","41.8145mm","T","180.00","49R9"
"R61","RESC1608X55N","131.675mm","64.1881mm","131.675mm","64.1881mm","132.475mm","64.1881mm","T","180.00","49R9"
"R60","RESC1608X55N","131.675mm","66.0526mm","131.675mm","66.0526mm","132.475mm","66.0526mm","T","180.00","49R9"
"R59","RESC1608X55N","131.675mm","43.6789mm","131.675mm","43.6789mm","132.475mm","43.6789mm","T","180.00","49R9"
"R58","RESC1608X55N","131.675mm","67.9171mm","131.675mm","67.9171mm","132.475mm","67.9171mm","T","180.00","49R9"
"R57","RESC1608X55N","131.675mm","45.5434mm","131.675mm","45.5434mm","132.475mm","45.5434mm","T","180.00","49R9"
"R56","RESC1608X55N","104.1mm","37.525mm","104.1mm","37.525mm","104.9mm","37.525mm","T","180.00","0"
"R55","RESC1608X55N","104.075mm","39.1mm","104.075mm","39.1mm","104.875mm","39.1mm","T","180.00","0"
"R54","RESC1608X55N","104.325mm","65.25mm","104.325mm","65.25mm","103.525mm","65.25mm","T","360.00","49R9"
"R53","RESC1608X55N","116.05mm","72.675mm","116.05mm","72.675mm","116.05mm","71.875mm","T","90.00","49R9"
"R52","RESC1608X55N","104.35mm","66.7mm","104.35mm","66.7mm","103.55mm","66.7mm","T","360.00","49R9"
"R51","RESC1608X55N","114.61mm","72.675mm","114.61mm","72.675mm","114.61mm","71.875mm","T","90.00","49R9"
"R50","RESC1608X55N","113.17mm","72.675mm","113.17mm","72.675mm","113.17mm","71.875mm","T","90.00","49R9"
"R49","RESC1608X55N","111.73mm","72.675mm","111.73mm","72.675mm","111.73mm","71.875mm","T","90.00","49R9"
"R48","RESC1608X55N","110.29mm","72.675mm","110.29mm","72.675mm","110.29mm","71.875mm","T","90.00","49R9"
"R47","RESC1608X55N","108.85mm","72.675mm","108.85mm","72.675mm","108.85mm","71.875mm","T","90.00","49R9"
"R46","RESC1608X55N","104.325mm","68.275mm","104.325mm","68.275mm","105.125mm","68.275mm","T","180.00","49R9"
"R45","RESC1608X55N","123.675mm","39.425mm","123.675mm","39.425mm","124.475mm","39.425mm","B","180.00","3k01"
"R44","RESC3216X65N","144.2174mm","117.6708mm","144.2174mm","117.6708mm","145.6674mm","117.6708mm","T","180.00","0"
"R31","RESC1608X55N","4.25mm","27.375mm","4.25mm","27.375mm","5.05mm","27.375mm","T","180.00","31k6"
"Q2","SO8","11.5mm","34.3mm","11.5mm","34.3mm","13.405mm","36.9032mm","T","270.00","FDS9926A"
"X3","XTAL1140X470X160N","118.575mm","37.3mm","118.575mm","37.3mm","123.425mm","37.3mm","T","180.00","25MHz"
"P5","MOLEX_87832-1420","95.425mm","57.6mm","95.425mm","57.6mm","97.55mm","51.6mm","T","90.00","Family"
"L11","R0805","36.5887mm","27.2mm","36.6013mm","27.2mm","35.7887mm","27.2mm","T","0.00","3.6uH, 12.5A"
"L10","SD43","5.065mm","34.725mm","6.705mm","34.725mm","6.705mm","34.725mm","T","180.00","SD43"
"L9","SD43","17.665mm","31.975mm","16.025mm","31.975mm","16.025mm","31.975mm","T","360.00","SD43"
"L8","SD43","4.76mm","15.05mm","6.4mm","15.05mm","6.4mm","15.05mm","T","180.00","SD43"
"L7","INDC1608X95N","123.45mm","76.275mm","123.45mm","76.275mm","124.25mm","76.275mm","B","180.00","390R@100MHz"
"L6","INDC1608X95N","123.475mm","74.45mm","123.475mm","74.45mm","124.275mm","74.45mm","B","180.00","390R@100MHz"
"L5","INDC1608X95N","123.8mm","42.3mm","123.8mm","42.3mm","124.6mm","42.3mm","B","180.00","390R@100MHz"
"L4","INDC1608X95N","131.225mm","84.4mm","131.225mm","84.4mm","132.025mm","84.4mm","B","180.00","390R@100MHz"
"L3","INDC1608X95N","148.65mm","117.625mm","148.65mm","117.625mm","149.45mm","117.625mm","T","180.00","390R@100MHz"
"L2","INDC1608X95N","131.225mm","82.525mm","131.225mm","82.525mm","132.025mm","82.525mm","B","180.00","390R@100MHz"
"L1","SD43","14.425mm","14.06mm","14.425mm","15.7mm","14.425mm","15.7mm","T","270.00","SD43"
"JM18","JUMPER_0R","95.125mm","46.45mm","95.125mm","46.45mm","95.125mm","44.85mm","T","180.00","Jumper 0R"
"JM17","JUMPER_0R","120.95mm","-6.65mm","120.95mm","-6.65mm","120.95mm","-5.05mm","T","0.00","Jumper 0R"
"JM16","JUMPER_0R","127.95mm","-6.625mm","127.95mm","-6.625mm","127.95mm","-5.025mm","T","0.00","Jumper 0R"
"JM15","JUMPER_0R","106.6mm","-6.625mm","106.6mm","-6.625mm","106.6mm","-5.025mm","T","0.00","Jumper 0R"
"JM14","JUMPER_0R","113.6mm","-6.675mm","113.6mm","-6.675mm","113.6mm","-5.075mm","T","0.00","Jumper 0R"
"J7","HUBER-SUHNER_82_SMA-50-0-41/133_NE","121.925mm","116.05mm","121.925mm","116.05mm","121.925mm","116.05mm","T","0.00","Coax_1Female_1Shield"
"J6","HUBER-SUHNER_82_SMA-50-0-41/133_NE","95.625mm","116.175mm","95.625mm","116.175mm","95.625mm","116.175mm","T","0.00","Coax_1Female_1Shield"
"J5","TYCO_5-6605308-1","150.6261mm","101.5mm","145mm","101.5mm","146.27mm","97.055mm","T","90.00","RJ45"
"J2","TYCO_5-6605308-1","150.5039mm","30.0154mm","144.8778mm","30.0154mm","146.1478mm","25.5704mm","T","90.00","RJ45"
"J4","TYCO_5-6605308-1","150.6061mm","77.755mm","144.98mm","77.755mm","146.25mm","73.31mm","T","90.00","RJ45"
"J1","TYCO_5-6605308-1","150.5029mm","6.4254mm","144.8768mm","6.4253mm","146.1468mm","1.9804mm","T","90.00","RJ45"
"J3","TYCO_5-6605308-1","150.5279mm","54.0504mm","144.9018mm","54.0504mm","146.1718mm","49.6054mm","T","90.00","RJ45"
"D17","LED0603","31.1mm","25.725mm","31.1mm","25.725mm","30.3mm","25.725mm","T","180.00","LED0603"
"D16","LED0603","141.325mm","90.525mm","141.325mm","90.525mm","142.125mm","90.525mm","T","360.00","LED0603"
"D15","LED0603","141.4778mm","18.7903mm","141.4778mm","18.7904mm","142.2778mm","18.7903mm","T","360.00","LED0603"
"D14","LED0603","141.7592mm","66.8112mm","141.7592mm","66.8113mm","142.5592mm","66.8112mm","T","360.00","LED0603"
"D13","LED0603","142.1018mm","-4.9497mm","142.1018mm","-4.9496mm","142.9018mm","-4.9497mm","T","360.00","LED0603"
"D12","LED0603","142.131mm","42.9253mm","142.131mm","42.9253mm","142.931mm","42.9253mm","T","360.00","LED0603"
"D11","SOT190P230X110-4N","141.15mm","102.075mm","141.15mm","102.075mm","140.4mm","103.225mm","B","270.00","PRTR5V0U2X"
"D10","SOT190P230X110-4N","140.975mm","50.925mm","140.975mm","50.925mm","140.225mm","52.075mm","B","270.00","PRTR5V0U2X"
"D9","SOT190P230X110-4N","141.15mm","98.175mm","141.15mm","98.175mm","140.4mm","99.325mm","B","270.00","PRTR5V0U2X"
"D8","SOT190P230X110-4N","140.725mm","30.7mm","140.725mm","30.7mm","139.975mm","31.85mm","B","270.00","PRTR5V0U2X"
"D7","SOT190P230X110-4N","140.85mm","78.275mm","140.85mm","78.275mm","140.1mm","79.425mm","B","270.00","PRTR5V0U2X"
"D6","SOT190P230X110-4N","140.775mm","26.925mm","140.775mm","26.925mm","140.025mm","28.075mm","B","270.00","PRTR5V0U2X"
"D5","SOT190P230X110-4N","140.8mm","74.475mm","140.8mm","74.475mm","140.05mm","75.625mm","B","270.00","PRTR5V0U2X"
"D4","SOT190P230X110-4N","140.775mm","7.125mm","140.775mm","7.125mm","140.025mm","8.275mm","B","270.00","PRTR5V0U2X"
"D3","SOT190P230X110-4N","140.95mm","54.575mm","140.95mm","54.575mm","140.2mm","55.725mm","B","270.00","PRTR5V0U2X"
"D2","SOT190P230X110-4N","140.775mm","3.35mm","140.775mm","3.35mm","140.025mm","4.5mm","B","270.00","PRTR5V0U2X"
"C194","CAPC1608X87N","18.425mm","22.475mm","18.425mm","22.475mm","19.225mm","22.475mm","B","180.00","680pF"
"C193","CAPC3216X140N","5mm","38.6mm","5mm","38.6mm","6.5mm","38.6mm","T","180.00","10uF"
"C192","CAPC1608X87N","13.175mm","29.5mm","13.175mm","29.5mm","12.375mm","29.5mm","T","360.00","100nF"
"C191","CAPC1608X87N","18.475mm","26.3mm","18.475mm","26.3mm","19.275mm","26.3mm","B","180.00","15nF"
"C190","CAPC1608X87N","18.45mm","22.5mm","18.45mm","22.5mm","19.25mm","22.5mm","T","180.00","39pF"
"C189","CAPC1608X87N","92.95mm","102.6mm","92.95mm","102.6mm","93.75mm","102.6mm","T","180.00","100nF"
"C188","CAPC1608X87N","4.3mm","29.275mm","4.3mm","29.275mm","3.5mm","29.275mm","B","360.00","1.5nF"
"C187","CAPC3225X270N","17.275mm","36.2mm","17.275mm","36.2mm","15.775mm","36.2mm","T","360.00","100uF"
"C186","CAPC1608X87N","100.125mm","43.225mm","100.125mm","43.225mm","99.325mm","43.225mm","T","360.00","100nF"
"C185","CAPC1608X87N","114.225mm","115.225mm","114.225mm","115.225mm","114.225mm","114.425mm","T","90.00","10pF"
"C184","CAPC1608X87N","120.65mm","90.65mm","120.65mm","90.65mm","119.85mm","90.65mm","T","360.00","1uF"
"C183","CAPC1608X87N","113.675mm","91.875mm","113.675mm","91.875mm","113.675mm","91.075mm","T","90.00","1uF"
"C182","CAPC1608X87N","104.4mm","115.35mm","104.4mm","115.35mm","104.4mm","114.55mm","T","90.00","10pF"
"C181","CAPC1608X87N","100mm","103.575mm","100mm","103.575mm","100mm","102.775mm","T","90.00","1uF"
"C180","CAPC1608X87N","100mm","106.975mm","100mm","106.975mm","100mm","106.175mm","T","90.00","1uF"
"C179","CAPC2012X135N","97.525mm","102.55mm","97.525mm","102.55mm","98.425mm","102.55mm","T","180.00","10uF"
"C178","CAPC1608X87N","99.85mm","90.25mm","99.85mm","90.25mm","100.65mm","90.25mm","T","180.00","1uF"
"C177","CAPC1608X87N","109.475mm","97.05mm","109.475mm","97.05mm","110.275mm","97.05mm","T","180.00","1uF"
"C176","CAPC1608X87N","135.525mm","56.7333mm","135.525mm","56.7333mm","136.325mm","56.7333mm","T","180.00","100nF"
"C175","CAPC1608X87N","135.525mm","60.4667mm","135.525mm","60.4667mm","136.325mm","60.4667mm","T","180.00","100nF"
"C174","CAPC1608X87N","135.525mm","71.6667mm","135.525mm","71.6667mm","136.325mm","71.6667mm","T","180.00","100nF"
"C173","CAPC1608X87N","135.525mm","49.2667mm","135.525mm","49.2667mm","136.325mm","49.2667mm","T","180.00","100nF"
"C172","CAPC1608X87N","135.525mm","75.4mm","135.525mm","75.4mm","136.325mm","75.4mm","T","180.00","100nF"
"C171","CAPC1608X87N","135.525mm","53mm","135.525mm","53mm","136.325mm","53mm","T","180.00","100nF"
"C170","CAPC1608X87N","135.525mm","41.8mm","135.525mm","41.8mm","136.325mm","41.8mm","T","180.00","100nF"
"C169","CAPC1608X87N","135.525mm","64.2mm","135.525mm","64.2mm","136.325mm","64.2mm","T","180.00","100nF"
"C168","CAPC1608X87N","135.525mm","67.9333mm","135.525mm","67.9333mm","136.325mm","67.9333mm","T","180.00","100nF"
"C167","CAPC1608X87N","135.525mm","45.5333mm","135.525mm","45.5333mm","136.325mm","45.5333mm","T","180.00","100nF"
"C166","CAPC1608X87N","41.775mm","-7.3mm","41.775mm","-7.3mm","42.575mm","-7.3mm","T","180.00","1uF"
"C165","CAPC1608X87N","114.925mm","33.725mm","114.925mm","33.725mm","115.725mm","33.725mm","T","180.00","18pF"
"C164","CAPC1608X87N","121.975mm","33.625mm","121.975mm","33.625mm","122.775mm","33.625mm","T","180.00","18pF"
"C163","CAPC1608X87N","120.125mm","46.15mm","120.125mm","46.15mm","120.125mm","46.95mm","B","270.00","100nF"
"C162","CAPC1608X87N","116.9mm","68.325mm","116.9mm","68.325mm","116.9mm","67.525mm","B","90.00","100nF"
"C161","CAPC1608X87N","108.675mm","54mm","108.675mm","54mm","109.475mm","54mm","B","180.00","100nF"
"C160","CAPC1608X87N","117.625mm","46.075mm","117.625mm","46.075mm","117.625mm","46.875mm","B","270.00","100nF"
"C159","CAPC2012X135N","108.775mm","56.025mm","108.775mm","56.025mm","109.675mm","56.025mm","B","180.00","22uF"
"C158","CAPC1608X87N","122.475mm","68.275mm","122.475mm","68.275mm","122.475mm","67.475mm","B","90.00","100nF"
"C157","CAPC1608X87N","121.575mm","46.175mm","121.575mm","46.175mm","121.575mm","45.375mm","B","90.00","100nF"
"C156","CAPC1608X87N","125.3mm","48.925mm","125.3mm","48.925mm","126.1mm","48.925mm","B","180.00","100nF"
"C155","CAPC1608X87N","124.975mm","55mm","124.975mm","55mm","125.775mm","55mm","B","180.00","100nF"
"C154","CAPC1608X87N","125.025mm","62.775mm","125.025mm","62.775mm","125.825mm","62.775mm","B","180.00","100nF"
"C153","CAPC2012X135N","120.65mm","68.35mm","120.65mm","68.35mm","120.65mm","67.45mm","B","90.00","22uF"
"C152","CAPC1608X87N","118.75mm","68.35mm","118.75mm","68.35mm","118.75mm","67.55mm","B","90.00","100nF"
"C151","CAPC1608X87N","115mm","68.25mm","115mm","68.25mm","115mm","69.05mm","B","270.00","100nF"
"C150","CAPC1608X87N","108.6mm","48.95mm","108.6mm","48.95mm","109.4mm","48.95mm","B","180.00","100nF"
"C149","CAPC1608X87N","108.7mm","60.475mm","108.7mm","60.475mm","107.9mm","60.475mm","B","360.00","100nF"
"C148","CAPC2012X135N","112.8mm","68.2mm","112.8mm","68.2mm","112.8mm","69.1mm","B","270.00","22uF"
"C147","CAPC1608X87N","125.05mm","66.225mm","125.05mm","66.225mm","124.25mm","66.225mm","B","0.00","100nF"
"C146","CAPC1608X87N","124.975mm","59.7mm","124.975mm","59.7mm","124.175mm","59.7mm","B","0.00","100nF"
"C145","CAPC1608X87N","124.975mm","56.75mm","124.975mm","56.75mm","124.175mm","56.75mm","B","0.00","100nF"
"C144","CAPC1608X87N","124.975mm","52.025mm","124.975mm","52.025mm","124.175mm","52.025mm","B","0.00","100nF"
"C143","CAPC2012X135N","125.025mm","64.55mm","125.025mm","64.55mm","124.125mm","64.55mm","B","0.00","22uF"
"C46","CAPC1608X87N","6.5mm","30.225mm","6.5mm","30.225mm","6.5mm","31.025mm","T","270.00","100pF"
"C45","CAPC1608X85N","8.2mm","17.575mm","8.2mm","17.575mm","8.2mm","16.825mm","B","90.00","1.2nF"
"C44","CAPC1608X87N","6.45mm","18.275mm","6.45mm","18.275mm","5.65mm","18.275mm","T","360.00","100nF"
"C43","CAPC3216X140N","4.925mm","11.375mm","4.925mm","11.375mm","6.425mm","11.375mm","T","180.00","10uF"
"C42","CAPC1608X87N","9.575mm","17.575mm","9.575mm","17.575mm","9.575mm","16.775mm","B","90.00","15nF"
"C40","CAPC1608X87N","18.4751mm","18.7511mm","18.4751mm","18.7511mm","19.2751mm","18.7511mm","B","180.00","1.5nF"
"C37","CAPC3216X140N","18.475mm","13mm","18.475mm","13mm","18.475mm","14.5mm","T","270.00","10uF"
"C34","CAPC1608X87N","30.375mm","10.775mm","30.375mm","10.775mm","31.175mm","10.775mm","T","180.00","1uF"
"C32","CAPC2012X135N","11.075mm","17.425mm","11.075mm","17.425mm","11.075mm","16.525mm","T","90.00","4.7uF"
"C31","CAPC2012X135N","9.2mm","17.425mm","9.2mm","17.425mm","9.2mm","16.525mm","T","90.00","4.7uF"
"C30","CAPC2012X135N","18.275mm","28.35mm","18.275mm","28.35mm","19.175mm","28.35mm","T","180.00","4.7uF"
"X1","5X3.2_CRYSTAL","89.7542mm","3.7397mm","89.7542mm","3.7397mm","91.0542mm","2.4697mm","T","90.00","510BBA200M000BAG"
"U5","SOIC16W","36.725mm","38.07mm","41.425mm","33.625mm","41.425mm","33.625mm","T","180.00","N25Q256A13ESF40G"
"U4","SO8","82.8655mm","39.8793mm","82.8655mm","39.8792mm","80.9605mm","37.2761mm","T","90.00","M24C32-WMN6TP"
"U1","FGG484","65.5mm","31.5mm","65.5mm","31.5mm","55mm","21mm","T","90.00","XC7A50T-1FGG484C"
"T1","SOT95P230X110-3N","-6.6mm","54.5251mm","-6.6mm","54.525mm","-7.75mm","55.4751mm","T","0.00","BSH103"
"R38","RESC1608X55N","88.425mm","7.175mm","88.425mm","7.175mm","89.225mm","7.175mm","T","180.00","49R9"
"R37","RESC1608X55N","82.65mm","28.975mm","82.65mm","28.975mm","81.85mm","28.975mm","T","360.00","49R9"
"R36","RESC1608X55N","82.65mm","27mm","82.65mm","27mm","81.85mm","27mm","T","360.00","49R9"
"R35","RESC1608X55N","82.6mm","25mm","82.6mm","25mm","81.8mm","25mm","T","360.00","49R9"
"R34","RESC1608X55N","82.65mm","22.975mm","82.65mm","22.975mm","81.85mm","22.975mm","T","360.00","49R9"
"R33","RESC1608X55N","50.6mm","27.525mm","50.6mm","27.525mm","49.8mm","27.525mm","T","0.00","100"
"R24","RESC1608X55N","93.5mm","3.175mm","93.5mm","3.175mm","93.5mm","3.975mm","T","270.00","4k7"
"R23","RESC1608X55N","29.025mm","36.16mm","29.025mm","36.16mm","29.825mm","36.16mm","T","180.00","0"
"R22","RESC1608X55N","44.4mm","33.235mm","44.4mm","33.235mm","43.6mm","33.235mm","T","360.00","4k7"
"R21","RESC1608X55N","28.975mm","42.51mm","28.975mm","42.51mm","29.775mm","42.51mm","T","180.00","4k7"
"R20","RESC1608X55N","43.8mm","39.675mm","43.8mm","39.675mm","43.8mm","40.475mm","T","270.00","4k7"
"R19","RESC1608X55N","84.825mm","45.95mm","84.825mm","45.95mm","84.825mm","45.15mm","T","90.00","4k7"
"R18","RESC1608X55N","83.375mm","45.95mm","83.375mm","45.95mm","83.375mm","45.15mm","T","90.00","4k7"
"R17","RESC1608X55N","-5.3857mm","47.1204mm","-5.3857mm","47.1204mm","-6.1857mm","47.1204mm","T","0.00","4k7"
"R16","RESC1608X55N","-7.225mm","57.475mm","-7.225mm","57.475mm","-8.025mm","57.475mm","T","0.00","Value"
"R15","RESC1608X55N","-3.875mm","57.4mm","-3.875mm","57.4mm","-3.075mm","57.4mm","T","180.00","Value"
"R14","RESC1608X55N","82.55mm","30.85mm","82.55mm","30.85mm","81.75mm","30.85mm","T","360.00","2k2"
"R13","RESC1608X55N","32.775mm","31.21mm","32.775mm","31.21mm","33.575mm","31.21mm","T","180.00","0"
"R12","RESC1608X55N","81.375mm","86.3mm","81.375mm","86.3mm","80.575mm","86.3mm","T","0.00","51k"
