"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C115","CAPC1608X87N","68.6mm","24.2mm","68.6mm","24.2mm","68.6mm","23.4mm","B","90.00","4.7uF"
"C114","CAPC3216X180N","70.75mm","25.05mm","70.75mm","25.05mm","70.75mm","23.55mm","B","90.00","100uF"
"C113","CAPC1608X87N","62.5mm","28.4999mm","62.5mm","28.5mm","61.7mm","28.4999mm","B","360.00","470nF"
"C112","CAPC1608X87N","60.4749mm","27.5mm","60.475mm","27.5mm","60.4749mm","28.3mm","B","270.00","470nF"
"C111","CAPC1608X87N","68.5499mm","27.575mm","68.55mm","27.575mm","68.5499mm","28.375mm","B","270.00","470nF"
"C106","CAPC1608X87N","62.4999mm","30.5001mm","62.5mm","30.5mm","62.4999mm","31.3mm","B","270.00","10nF"
"C104","CAPC1608X87N","64.375mm","31.15mm","64.375mm","31.15mm","64.375mm","30.35mm","B","90.00","100nF"
"C102","CAPC1608X87N","66.5499mm","29.25mm","66.55mm","29.25mm","66.5499mm","30.05mm","B","270.00","470nF"
"C101","CAPC1608X87N","60.5249mm","30.4mm","60.525mm","30.4mm","60.5249mm","31.2mm","B","270.00","470nF"
"C100","CAPC1608X87N","71.425mm","29.8mm","71.425mm","29.8mm","72.225mm","29.8mm","B","180.00","470nF"
"C99","CAPC1608X87N","65.7999mm","32.5mm","65.8mm","32.5mm","65.7999mm","33.3mm","B","270.00","470nF"
"C98","CAPC1608X87N","68.5mm","31.1251mm","68.5mm","31.125mm","69.3mm","31.1251mm","B","180.00","470nF"
"C97","CAPC1608X87N","55.175mm","31.5mm","55.175mm","31.5mm","55.175mm","32.3mm","B","270.00","470nF"
"C96","CAPC1608X87N","53.0999mm","30.025mm","53.1mm","30.025mm","52.3mm","30.025mm","B","360.00","470nF"
"C95","CAPC1608X87N","54.025mm","28.2999mm","54.025mm","28.3mm","53.225mm","28.2999mm","B","360.00","470nF"
"C94","CAPC1608X87N","54mm","26.9999mm","54mm","27mm","53.2mm","26.9999mm","B","360.00","470nF"
"C93","CAPC1608X87N","54.3mm","23.95mm","54.3mm","23.95mm","53.5mm","23.95mm","B","360.00","4.7uF"
"C92","CAPC1608X87N","56.5mm","22.5mm","56.5mm","22.5mm","56.5mm","21.7mm","B","90.00","4.7uF"
